city_slug,jurisdiction_name
borough_of_west_chester,Borough Of West Chester
borough_of_west_leechburg,Borough Of West Leechburg
borough_of_west_reading,Borough Of West Reading
borough_of_west_view,Borough Of West View
borough_of_west_wildwood,Borough Of West Wildwood
borough_of_westmont,Borough Of Westmont
borough_of_wilkinsburg,Borough Of Wilkinsburg
borough_of_wilson,Borough Of Wilson
borough_of_woodbury_heights,Borough Of Woodbury Heights
borough_of_woodcliff_lake,Borough Of Woodcliff Lake
borough_of_woodlynne,Borough Of Woodlynne
bossier_city,Bossier City
bossier_metropolitan_planning_commission,Bossier Metropolitan Planning Commission
bossier_parish_police_jury,Bossier Parish Police Jury
boston,Boston
bostonhts,Boston Heights
botetourt_county,Botetourt County
bothell,City of Bothell
botkinsoh,Botkins
boulder_city,Boulder City
boulderut,Boulder
bourbonnais,Bourbonnais
bowdon,Bowdon
bowenil,Bowen
bowling_green,Bowling Green
bowlinggreen,Bowling Green
boyne_city,Boyne City
bozeman,Bozeman
braceville,Braceville
bradbury,Bradbury
bradenton,Bradenton
bradenton_beach,Bradenton Beach
bradford_county,Bradford County
bradley,Bradley
brahammn,Braham
brandon,Brandon
brandon_charter_township%2c_(oakland_co.),Brandon Charter Township%2C (Oakland Co.)
branford,Branford
branson,Branson
brantley_county,Brantley County
brawley,Brawley
brazil,Brazil
breckenridge,Breckenridge
brecksville,Brecksville
breitung_chrtr_township%2c_(dickinson_co.),Breitung Chrtr Township%2C (Dickinson Co.)
bremen,Bremen
bremenin,Bremen
brentwood,Brentwood
brevard_county,Brevard County
brewton,Brewton
briarcliffe_acres,Briarcliffe Acres
bridger,Bridger
brighton,Brighton
brighton_charter_township%2c_(livingston_co.),Brighton Charter Township%2C (Livingston Co.)
brillion,Brillion
brisbane,Brisbane
bristol,Bristol
bristow,Bristow
britton,Britton
brockton,Brockton
broken_arrow,Broken Arrow
broken_bow,Broken Bow
bronson,Bronson
brookfield,Brookfield
brookhaven,Brookhaven
brookings,Brookings
brooklet,Brooklet
brooklyn,Brooklyn
brookside_village,Brookside Village
brooksville,Brooksville
broomfield,Broomfield
broussard,Broussard
broward_county,Broward County
brown_deer,Brown Deer
brownsburg,Brownsburg
brownsville,Brownsville
brownwood,Brownwood
brucesd,Bruce
brunswick,Brunswick
brunswick_county,Brunswick County
brusly,Brusly
bryan,Bryan
bryan_county,Bryan County
bryant,Bryant
buchanan,Buchanan
buchanan_,Buchanan 
buckeye,Buckeye
bucyrus,Bucyrus
buena_vista,Buena Vista
buffalo,Buffalo
buffalo_grove,Buffalo Grove
buford,Buford
bullard,Bullard
bullhead_city,Bullhead City
bulloch_county,Bulloch County
buncombe_county,Buncombe County
bunker_hill_village,Bunker Hill Village
bunkie,Bunkie
bunnell,Bunnell
burgaw,Burgaw
burke_county,Burke County
burkittsville,Burkittsville
burleyid,Burley
burlington,Burlington
burnet,Burnet
burnett_county,Burnett County
burnham,Burnham
burnsville,Burnsville
burr_ridge,Burr Ridge
burrillville,Burrillville
burtonmi,Burton
burtonoh,Burton
bushnell,Bushnell
butler,Butler
butte-silver_bow_county,Butte Silver Bow County
butte_county,Butte County
butts_county,Butts County
byesville,Byesville
byron,Byron
byron_township%2c_(kent_co.),Byron Township%2C (Kent Co.)
byronmn,Byron
cabarrus_county,Cabarrus County
cabot,Cabot
cache_county,Cache County
caddo_parish,Caddo Parish
cadillac,Cadillac
cadizky,Cadiz
cairo,Cairo
calaveras_county,Calaveras County
calcasieu_parish_police_jury,Calcasieu Parish Police Jury
caledonia,Caledonia
calera,Calera
caleraok,Calera
calexico,Calexico
calhoun,Calhoun
calhoun_county,Calhoun County
califon,Califon
california_city,California City
callaway,Callaway
calumet_city,Calumet City
camarillo,Camarillo
cambria_community_services_district,Cambria Community Services District
cambridge,Cambridge
cambridge_township%2c_(lenawee_co.),Cambridge Township%2C (Lenawee Co.)
camden,Camden
camdenoh,Camden
cameron,Cameron
campbell,Campbell
campbell%2c_la_crosse_co,Campbell%2C La Crosse Co
camptonhillsil,Campton Hills
canon_city,Canon City
